State_0,State_1,State_2,State_3,State_4,State_5,Date,Forecast_State_0,Forecast_State_1,Forecast_State_2,Forecast_State_3,Forecast_State_4,Forecast_State_5,Target_Position,Trade_Size
0.0006810986570953,6.646403748857159e-05,0.9992509742759011,1.462121977569265e-06,9.071313415071255e-10,9.089602091336512e-14,2018-04-16,0.0428260231987002,0.0410839561497104,0.9112973988053404,0.004755230848236,1.5103541518526011e-06,3.588064354547506e-05,0.508774132475609,0.00030978122913205564
0.3986226012976737,4.7411894591329e-07,0.6013739322802077,2.981049314003545e-06,4.4751006943955716e-10,1.080611200462143e-08,2018-04-17,0.3924415564222585,0.0246890086065542,0.5630417166013982,0.0064143264404317,2.454431671976689e-07,0.0134131464859534,0.6901947721822284,0.18142063970661937
0.9154462971779508,2.2015040747164337e-08,0.0845484102721519,1.0433391834090536e-06,5.0408783565063225e-12,4.227190768517012e-06,2018-04-18,0.8464986646026719,0.0034710800731543,0.1106731907772219,0.0085661669202183,8.273854271141477e-08,0.0307908148883271,0.9257962239143593,0.23560145173213098
0.9899898204469286,4.942656554313829e-09,0.0100015925656776,1.0689904567961762e-06,1.0442804324652078e-12,7.513052860093418e-06,2018-04-19,0.911989094469923,0.0004106750727421,0.0454235431079244,0.0088767636540403,8.439930863088142e-08,0.0332998392956852,0.9597784986631434,0.033982274748784014
0.9984628240374442,2.8425647597335653e-10,0.001522499174979,2.70263151657338e-07,5.300632921532203e-13,1.440623967130321e-05,2018-04-20,0.9194330480202056,6.252213957039018e-05,0.0380016817203689,0.0089114300088508,2.1317916088769413e-08,0.0335912967931208,0.9636430133280395,0.0038645146648961237
0.9993317594411326,4.997207370618733e-12,0.0002694005454266,1.337317430168709e-07,9.412767750067096e-14,0.0003987062770281,2018-04-23,0.920194268500506,1.1068834628956212e-05,0.0368907731858327,0.0089138635368594,1.0545534718875866e-08,0.0339900153970596,0.964134944395409,0.0004919310673695554
0.8960222842863839,4.613611902966171e-15,1.7305268792516412e-06,6.815844950233598e-08,3.789968298590381e-15,0.1039759170279624,2018-04-24,0.8288419784635931,7.565903792584983e-08,0.0328583518325825,0.0081919077582535,5.3745990708807e-09,0.130107680911617,0.9428519393529557,-0.021283005042453285
0.5783904912936617,7.276679585226214e-18,3.115360651443829e-07,6.170577961503289e-08,1.565138042147351e-15,0.4216091354645897,2018-04-25,0.5479780137192442,1.6967881932198694e-08,0.0212096295735963,0.0059746702729647,4.865775268810842e-09,0.4248376646006352,0.8772110860642645,-0.06564085328869129
0.2804140289026101,5.5912617891721415e-19,3.51471300335544e-08,1.1136721788360938e-08,4.705531358445577e-16,0.7195859248131609,2018-04-26,0.2844941607242637,2.197009751473836e-09,0.0102827002831208,0.0038946058157948,8.781802435921102e-10,0.7013285301012537,0.8156319098691971,-0.061579176195067364
0.0498063913868768,9.115673730532871e-21,6.770669655940875e-10,1.9533755451381595e-09,4.197800089138592e-17,0.950193605982358,2018-04-27,0.0805807773823454,1.6006545648274667e-10,0.0018263807029705,0.0022848421601804,1.5403234558774242e-10,0.915307999440083,0.7679749675079416,-0.047656942361255505
0.0028575933755525,5.382606349527704e-22,2.4079784248119527e-11,4.708000102071485e-10,1.5126941113348122e-17,0.9971424061296876,2018-04-30,0.0390665918959438,3.286800931054058e-11,0.0001047868230747,0.0019571149600296,3.71246785761508e-11,0.9588715062510788,0.758272615041132,-0.009702352466809616
0.0004244513836136,1.981295048974258e-24,5.810603493619933e-13,8.796061428929043e-13,3.8264494180415885e-20,0.99957554861474,2018-05-02,0.0369151010771451,8.341552675472592e-14,1.5564459182259577e-05,0.0019401300497705,6.936087326496237e-14,0.9611292044135632,0.7577697866169989,-0.0005028284241330727
2.1156177715414606e-06,5.501156395063518e-32,6.196155326432053e-17,3.515782118019841e-17,3.589404956045682e-26,0.9999978843820468,2018-05-03,0.0365416532773112,4.924379179990007e-18,7.757883834228999e-08,0.0019371819345953,2.7723498067486408e-18,0.9615210872090734,0.7576825074735355,-8.727914346340349e-05
8.132692311954434e-11,2.016148519088529e-35,1.5245358302078758e-24,3.713486383470711e-14,7.4906010196665555e-25,0.999999999919055,2018-05-04,0.0365397826272611,2.5145267321967647e-15,2.9838826129837442e-12,0.0019371671671247,2.928248334732563e-15,0.9615230502030436,0.7576820702810393,-4.3719249620544076e-07
1.0963196358812366e-09,1.5787251291990544e-32,1.299616281320215e-23,6.7328627343235405e-15,2.8785029533327475e-23,0.9999999989040588,2018-05-07,0.0365397835247611,4.559048193706363e-16,4.0201897608271894e-11,0.0019371671741862,5.309160468986463e-16,0.9615230492612348,0.7576820704907887,2.0974944003882e-10
6.061085707852352e-10,9.595731290581012e-34,1.7217401085690143e-24,1.664488937661679e-15,2.27515586182662e-24,0.9999999993942764,2018-05-08,0.036539783091295,1.1270815354177676e-16,2.2225832880947532e-11,0.0019371671707603,1.3125232022796255e-16,0.9615230497161048,0.7576820703894867,-1.0130207783731748e-10
5.629803605050322e-10,7.849071669773995e-34,4.499833774141862e-25,4.626025337916956e-15,1.768968107872211e-24,0.9999999994370228,2018-05-09,0.0365397830531453,3.1324376010953807e-16,2.0644470811404383e-11,0.0019371671704608,3.647825696119355e-16,0.9615230497557562,0.7576820703802851,-9.201528428093297e-12
1.553801772594328e-09,1.214153755306374e-32,2.006216635880967e-24,2.5777806370045672e-14,1.3954287035247934e-23,0.999999998446583,2018-05-10,0.0365397839292877,1.7455021115339366e-15,5.6978427741426136e-11,0.0019371671773944,2.0326941116626087e-15,0.961523048836746,0.7576820705853389,2.050537517561679e-10
1.091599413633022e-08,1.20677008690279e-31,1.5740308478484726e-23,2.8679061682080323e-14,2.156704053129777e-23,0.9999999890842448,2018-05-11,0.0365397922077434,1.941955883460415e-15,4.0028632114730857e-10,0.0019371672427492,2.2614709382784368e-15,0.9615230401494842,0.7576820725200024,1.9346635404815515e-09
9.965647967400157e-09,2.182991379117112e-31,1.4155441288155745e-23,3.746954292447478e-14,3.301041479331788e-23,0.9999999900346666,2018-05-14,0.0365397913674087,2.537188982576373e-15,3.6543790696744485e-10,0.0019371672361223,2.9546392928202905e-15,0.9615230410313772,0.7576820723236641,-1.963382789682555e-10
3.700239112852364e-08,3.0655817190011934e-30,1.211835577639132e-22,1.4895333943606824e-12,6.5596933438618435e-22,0.9999999629962992,2018-05-15,0.0365398152744688,1.0086132417917752e-13,1.356928821925628e-09,0.0019371674259778,1.1745629991409837e-13,0.9615230159425858,0.7576820779100153,5.586351159436731e-09
8.191038196706661e-08,1.4545097771865603e-28,2.9686791681187057e-21,3.716789856517628e-13,4.988115104670283e-21,0.9999999180890916,2018-05-16,0.0365398549840765,2.5167636558695465e-14,3.003636742473707e-09,0.0019371677385906,2.930853746680167e-14,0.9615229742734868,0.7576820871910456,9.281030277641378e-09
3.6234759297902e-07,5.01499804376774e-28,5.305591132342744e-21,3.7346534738115176e-12,5.257546182821264e-21,0.9999996376482816,2018-05-17,0.0365401029589279,2.528859686211552e-13,1.3287304175817153e-08,0.0019371696987895,2.9449395717667024e-13,0.96152271405404,0.7576821451434678,5.795242219441832e-08
