Date,Log_Return,gk_volatility,Range
2010-02-16,0.015612407465950643,0.012203255188675865,0.01849825787145447
2010-02-17,0.004727366947504273,0.0043036703862538005,0.006076598815153529
2010-02-18,0.0058776084504944745,0.0052603870410477625,0.009917937406911295
2010-02-19,0.0020713804714152964,0.00713844471914436,0.010887161158157724
2010-02-22,0.0001803612702746606,0.004243184488251932,0.006747031083947741
2010-02-23,-0.012218896180357226,0.008993784847291252,0.01529915620186901
2010-02-24,0.009155793796654743,0.006217045946087066,0.010286946334486353
2010-02-25,-0.0013548408316197563,0.008391964237888048,0.016354907278760974
2010-02-26,0.0006324628738169154,0.006454291949753384,0.009120481810672973
2010-03-01,0.010331107387982175,0.0035892513596771118,0.00741801622649276
2010-03-02,0.0027665641871377792,0.004560500866168239,0.006595346558796073
2010-03-03,0.0008910564808424684,0.0058783002367582705,0.008459524058951883
2010-03-04,0.003022886261526655,0.004728434787017372,0.006835975467269927
2010-03-05,0.01419212053969159,0.006029424667574471,0.010853372987041894
2010-03-08,0.0001751836525028239,0.002783460677674404,0.00393801488983841
2010-03-09,0.0016612868256280036,0.006291130756545183,0.009785035175135258
2010-03-10,0.004445640373634536,0.004741809824497297,0.007567148890582502
2010-03-11,0.004166196492500334,0.0056515162350626235,0.009787829473214334
2010-03-12,8.703940344800137e-05,0.004343752175714881,0.007188652673099729
2010-03-15,0.0002595679624492634,0.005829722849431265,0.008399006309163803
2010-03-16,0.007934687570716834,0.005394678343645081,0.008848026345626859
2010-03-17,0.005909795346058513,0.006149009641330711,0.009052136650732184
2010-03-18,-0.0005125869905534625,0.00421710059326532,0.005980835122749369
2010-03-19,-0.005074703941322697,0.01075216831352036,0.015262604585925895
2010-03-22,0.005332078157209662,0.006582069721284377,0.013380266206263666
2010-03-23,0.0070086442924983195,0.005897386772686144,0.009624434439713548
2010-03-24,-0.004866721774249965,0.011207186174710077,0.015833606060471565
2010-03-25,-0.001627285447582794,0.008545958281352578,0.014230570175745505
2010-03-26,-0.0006003046752601453,0.007719338712098046,0.011151101406287642
2010-03-29,0.006327299730860957,0.005009173994542173,0.007159873338524031
2010-03-30,0.0006820296222889348,0.005533541032334004,0.007836440860203117
2010-03-31,-0.0034131559694886154,0.005490244834215473,0.007777743869357621
2010-04-01,0.006814096938107347,0.006910391795800954,0.0097623216985285
2010-04-05,0.008116352741498713,0.004800443159190585,0.0077467005085598015
2010-04-06,0.0023548174865844896,0.004704538311345426,0.008064508376086793
2010-04-07,-0.005728478564224379,0.008950244263210949,0.013095666135221827
2010-04-08,0.0034580133895218343,0.006966644222524754,0.011534922836608496
2010-04-09,0.006545987358158485,0.003859427522123746,0.00669172230817049
2010-04-12,0.0015880127883247416,0.0028846234747506227,0.0040922457149327835
2010-04-13,0.0007512612919816677,0.006055567591602056,0.008678969370238362
2010-04-14,0.01128555742691467,0.004460988537398397,0.009159176400612954
2010-04-15,0.0008246238855797559,0.0032714360495439106,0.005111738328815962
2010-04-16,-0.01604042046009587,0.01279478641980643,0.0212801684193948
2010-04-19,0.0037631898930039695,0.007594328833395313,0.01218595371190644
2010-04-20,0.008891353067998604,0.006306041052523016,0.009182665747621568
2010-04-21,-0.0018219920251494612,0.007115167820437993,0.0102768560875941
2010-04-22,0.002979570153089181,0.010323190547080129,0.016939311512373403
2010-04-23,0.006506419103771194,0.005622456304349327,0.010097720889797468
2010-04-26,-0.0037829165261752474,0.004496716265332672,0.007334152458504058
2010-04-27,-0.02393537401251734,0.014333683090908487,0.026080319466076335
2010-04-28,0.007567344087884161,0.008201705779303911,0.011811054569855985
